feature_name,feature_group,data_type,window_options,formula_definition,leakage_risk
agency_completed_count_{win}_t,Agency Historical Prior,integer,"lifetime, 10y, 5y, 3y",Count of completed projects executed by agency known before prediction month t,Zero (Enforced as_of t)
agency_delay_count_{win}_t,Agency Historical Prior,integer,"lifetime, 10y, 5y, 3y",Count of completed projects by agency with actual_completion_date > original_DOC before t,Zero (Enforced as_of t)
agency_delay_rate_raw_{win}_t,Agency Historical Prior,"float [0, 1]","lifetime, 10y, 5y, 3y",agency_delay_count / agency_completed_count (NaN if 0 completed),Zero (Enforced as_of t)
agency_delay_rate_smoothed_{win}_t,Agency Historical Prior,"float [0, 1]","lifetime, 10y, 5y, 3y",Empirical Bayes smoothed delay rate shrunk towards sector prior: (k + m*p_sector)/(n + m),Zero (Enforced as_of t)
agency_mean_delay_months_{win}_t,Agency Historical Prior,float (months),"lifetime, 10y, 5y, 3y",Mean time overrun (actual_doc - original_doc) for agency completed projects before t,Zero (Enforced as_of t)
agency_median_delay_months_{win}_t,Agency Historical Prior,float (months),"lifetime, 10y, 5y, 3y",Median time overrun (actual_doc - original_doc) for agency completed projects before t,Zero (Enforced as_of t)
agency_cost_overrun_count_{win}_t,Agency Historical Prior,integer,"lifetime, 10y, 5y, 3y",Count of agency completed projects with revised_cost > original_cost before t,Zero (Enforced as_of t)
agency_cost_overrun_rate_raw_{win}_t,Agency Historical Prior,"float [0, 1]","lifetime, 10y, 5y, 3y",agency_cost_overrun_count / agency_cost_obs_count (NaN if 0 obs),Zero (Enforced as_of t)
agency_cost_overrun_rate_smoothed_{win}_t,Agency Historical Prior,"float [0, 1]","lifetime, 10y, 5y, 3y",Empirical Bayes smoothed cost overrun rate shrunk towards sector prior: (k + m*p_cost_sec)/(n + m),Zero (Enforced as_of t)
agency_mean_cost_overrun_pct_{win}_t,Agency Historical Prior,float (%),"lifetime, 10y, 5y, 3y",Mean percentage cost growth ((revised - original)/original)*100 before t,Zero (Enforced as_of t)
agency_median_cost_overrun_pct_{win}_t,Agency Historical Prior,float (%),"lifetime, 10y, 5y, 3y",Median percentage cost growth ((revised - original)/original)*100 before t,Zero (Enforced as_of t)
sector_completed_count_{win}_t,Sector Historical Prior,integer,"lifetime, 10y, 5y, 3y",Count of completed projects in sector known before prediction month t,Zero (Enforced as_of t)
sector_delay_count_{win}_t,Sector Historical Prior,integer,"lifetime, 10y, 5y, 3y",Count of completed projects in sector with delay > 0 before t,Zero (Enforced as_of t)
sector_delay_rate_raw_{win}_t,Sector Historical Prior,"float [0, 1]","lifetime, 10y, 5y, 3y",sector_delay_count / sector_completed_count,Zero (Enforced as_of t)
sector_mean_delay_months_{win}_t,Sector Historical Prior,float (months),"lifetime, 10y, 5y, 3y",Mean time overrun (months) for sector completed projects before t,Zero (Enforced as_of t)
sector_median_delay_months_{win}_t,Sector Historical Prior,float (months),"lifetime, 10y, 5y, 3y",Median time overrun (months) for sector completed projects before t,Zero (Enforced as_of t)
sector_cost_overrun_count_{win}_t,Sector Historical Prior,integer,"lifetime, 10y, 5y, 3y",Count of sector completed projects with cost overrun before t,Zero (Enforced as_of t)
sector_cost_overrun_rate_raw_{win}_t,Sector Historical Prior,"float [0, 1]","lifetime, 10y, 5y, 3y",sector_cost_overrun_count / sector_cost_obs_count,Zero (Enforced as_of t)
sector_mean_cost_overrun_pct_{win}_t,Sector Historical Prior,float (%),"lifetime, 10y, 5y, 3y",Mean percentage cost growth for sector completed projects before t,Zero (Enforced as_of t)
sector_median_cost_overrun_pct_{win}_t,Sector Historical Prior,float (%),"lifetime, 10y, 5y, 3y",Median percentage cost growth for sector completed projects before t,Zero (Enforced as_of t)
pre_paimana_observation_months,Linked Project History,integer,Lifetime before t,Number of distinct historical monthly snapshots project was observed in OCMS before t,Zero (Enforced as_of t)
pre_paimana_schedule_revision_count,Linked Project History,integer,Lifetime before t,Number of historical commissioning date changes (DOC_k != DOC_{k-1}) before t,Zero (Enforced as_of t)
pre_paimana_cost_revision_count,Linked Project History,integer,Lifetime before t,Number of historical cost changes (|cost_k - cost_{k-1}| > 0.05 Cr) before t,Zero (Enforced as_of t)
pre_paimana_max_cost_escalation_pct,Linked Project History,float (%),Lifetime before t,Maximum cost growth percentage ((max(cost) - initial_cost)/initial_cost)*100 before t,Zero (Enforced as_of t)
pre_paimana_max_schedule_slippage_months,Linked Project History,float (months),Lifetime before t,Maximum schedule slippage in months (max(DOC) - initial_DOC) before t,Zero (Enforced as_of t)
