feature_name,source_columns,calculation,time_boundary,allowed_information,future_information_used,leakage_status
approval_start_date,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Sanctioned baseline known at or before t,report_month <= t,None (Strictly <= t),SAFE
original_completion_date,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Sanctioned baseline known at or before t,report_month <= t,None (Strictly <= t),SAFE
original_cost_crore,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Sanctioned baseline known at or before t,report_month <= t,None (Strictly <= t),SAFE
project_age_months_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
planned_duration_months,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Sanctioned baseline known at or before t,report_month <= t,None (Strictly <= t),SAFE
original_cost_log,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Sanctioned baseline known at or before t,report_month <= t,None (Strictly <= t),SAFE
project_size_category,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Sanctioned baseline known at or before t,report_month <= t,None (Strictly <= t),SAFE
physical_progress_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
cumulative_expenditure_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
revised_cost_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
revised_doc_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
cost_escalation_pct_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
expenditure_ratio_pct_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
remaining_physical_progress_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
schedule_slippage_months_t,paimana_master_dataset.csv,Derived strictly from records with report_month <= prediction_month,Record at month t only,report_month <= t,None (Strictly <= t),SAFE
