feature_name,present_in_original_production_75,present_in_ocms_experiment,feature_type,reason_for_difference,safe_or_unsafe
agency,False,False,Identifier / Timing,Identifier or target metadata column,SAFE (ID / Timing)
agency_active_project_count_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
agency_mean_cost_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
agency_mean_expenditure_ratio_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
agency_mean_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
agency_median_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
approval_start_date,False,True,Raw Date String,Raw string column (revised_doc_t / first_observed_month / original_cost_crore) preserved in CSV but ignored by numeric models,SAFE (Metadata / Filtered in Pipeline)
average_progress_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
avg_monthly_expenditure_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
consecutive_observation_count_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
cost_escalation_pct_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
cost_reduction_pct_as_of_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
cost_revision_count_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
cumulative_expenditure_lag1,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
cumulative_expenditure_lag3,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
cumulative_expenditure_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
current_schedule_status_as_of_t,True,True,Categorical Feature,Present in both production feature store and experimental baseline,SAFE
evaluation_month,False,False,Identifier / Timing,Identifier or target metadata column,SAFE (ID / Timing)
expenditure_change_1m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
expenditure_change_3m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
expenditure_growth_rate_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
expenditure_ratio_pct_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
expenditure_velocity_3m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
expenditure_velocity_6m_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
first_observed_month,False,True,Raw Date String,Raw string column (revised_doc_t / first_observed_month / original_cost_crore) preserved in CSV but ignored by numeric models,SAFE (Metadata / Filtered in Pipeline)
focused_cohort_indicator_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
has_cost_revision_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
has_revised_schedule_as_of_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
largest_cost_revision_pct_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
longest_stagnation_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
max_progress_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
min_progress_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
missing_expenditure_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
missing_physical_progress_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
missing_revised_cost_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
missing_revised_doc_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
monthly_expenditure_delta_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_observed_to_date_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_since_first_observed_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
months_since_last_cost_revision_t,True,True,Numerical Feature,Present in both production feature store and experimental baseline,SAFE
