field_name,first_period,last_period,consistently_available,equivalent_in_later_data,category,definition_format_notes
Sl. No. / Serial Number,2001-04,2026-06,Yes,sl_no / index within table,Index,Page/sector sequential counter. Resets per sector/page in older reports; not a persistent project key.
Project Name,2001-04,2026-06,Yes,project_name,Identity,Text string describing the project. In 2001-2010 often combined with agency in parentheses. In 2011-2024 appended with [OCMS Code]. In 2025-2026 isolated into standalone project_name.
OCMS Project Code / Project Code,2010-04 (Sporadic) / 2011-04 (Systematic),2025-06,No (Absent in 2001-2009; Systematic in 2011-2025),legacy_ocms_code (in PAIMANA),Identity,"Alphanumeric code [e.g. N16000282, 220100330]. Introduced around 2010-2011 to uniquely track projects in Web-OCMS. Became legacy_ocms_code in PAIMANA."
PAIMANA Project ID,2025-04 (Transition) / 2025-07 (Modern),2026-06,No (Introduced in PAIMANA regime),project_id (6-digit integer),Identity,6-digit unique integer assigned by new PAIMANA database (e.g. 100123). Replaced OCMS code as primary key.
Sector,2001-04,2026-06,Yes,sector,Classification,"Sector classification (e.g., POWER, RAILWAYS, ROAD TRANSPORT, PETROLEUM). Consistent throughout, though sector groupings occasionally merged/split."
Ministry / Department,2001-04,2026-06,Yes (Implicit in 2001-2010 via sector/agency; Explicit in 2011-2026),ministry_name,Administrative,Reporting Central Ministry. Explicit column in PAIMANA; inferred from Sector/PSU header in early OCMS.
Implementing Agency / PSU,2001-04,2026-06,Yes,agency_name,Administrative,"PSU/Agency executing project (e.g., NTPC, NHAI, IOCL). Often embedded in project name parentheses in 2001-2014; separate field/bracket in 2015-2026."
State / Location,2001-04 (Sporadic/embedded in name),2026-06,Partial (Embedded in title 2001-2013; dedicated section/column in 2014-2026),state_name,Geographic,"Location/State. In 2001-2009, multi-state projects often listed under regional blocks. Dedicated State column/table formalized in later OCMS & PAIMANA."
Date of Approval (DOA),2001-04,2026-06,Yes,date_of_approval,Schedule,Date of government sanction/approval (MM/YYYY). Consistent concept across all eras.
Original Date of Commissioning (DOC),2001-04,2026-06,Yes,original_doc,Schedule,Original target completion date (MM/YYYY). Highly consistent.
Revised / Anticipated Date of Commissioning,2001-04,2026-06,Yes,anticipated_doc / revised_doc,Schedule,Latest projected completion date (MM/YYYY). In 2001-2008 labeled Anticipated DOC; in 2014-2025 split into Revised and Anticipated.
Actual Date of Commissioning,2001-04,2026-06,Only in Completed Projects Tables (Table 2 / Table 3),actual_doc,Schedule,Reported only when a project completes and moves to Table 3 (Completed Projects). Never present for ongoing projects.
Original Cost,2001-04,2026-06,Yes,original_cost,Financial,"Initial sanctioned cost in Rs. Crore. Threshold for inclusion was Rs. 20 Cr / Rs. 100 Cr in 2001-2010, then standardized to Rs. 150 Cr and above."
Revised Cost,2001-04 (Sporadic),2026-06,Partial (Formally split from Anticipated in 2014-2026),revised_cost,Financial,Cabinet/Ministry approved revised budget. In 2001-2010 often combined into Anticipated Cost column.
Anticipated Cost,2001-04,2026-06,Yes,anticipated_cost,Financial,Latest projected total project cost in Rs. Crore.
Cumulative Expenditure,2001-04,2026-06,Yes,cumulative_expenditure,Financial,Total funds spent till the reporting month in Rs. Crore.
Physical Progress (%),2009-04 (Sporadic) / 2014-04 (Standard),2026-06,No (Absent/sparse in 2001-2008 synopsis; Standardized in 2014-2026),physical_progress,Operational,Self-reported % physical completion (0-100%). Absent in early 2000s summary tables; became standard column in 2014+ OCMS.
Milestones (Total / Achieved / Pending),2014-04 (In project-specific detail sheets),2026-06,"No (Only available in detailed Annexure/Project sheets, not master tables)",milestones_total / milestones_achieved,Operational,"Granular contract milestones. Present only in full OCMS monograph pages (800-page reports), omitted from summary project listings."
Delay / Time Overrun (Months),2001-04,2026-06,Yes,time_overrun_months (Calculable),Derived Administrative,Explicitly printed as column in some reports; deterministically computable as Anticipated DOC - Original DOC.
Cost Overrun (%),2001-04,2026-06,Yes,cost_overrun_pct (Calculable),Derived Administrative,Explicitly printed or computable as (Anticipated Cost - Original Cost) / Original Cost * 100.
Project Status / Category (Delayed / Ahead / On-Schedule),2001-04,2026-06,Yes,project_status,Administrative State,Administrative classification based on whether Anticipated DOC exceeds Original DOC.
