feature_name,formula_lineage,uses_future_info,time_of_availability,classification,rationale
months_to_original_doc_t,(original_completion_date - prediction_month) in months,NO (max report month <= t),Sanction / Baseline Sanction Date,TARGET-PROXIMAL-BUT-VALID,Point-in-time valid as known baseline schedule metric. Highly predictive because projects close to/past DOC with low progress will fail 3m horizon. Does not use future data.
schedule_slippage_months_t,(revised_completion_date_t - original_completion_date) in months,NO (max report month <= t),Report month t,TARGET-PROXIMAL-BUT-VALID,Measures formally acknowledged slippage up to month t. Valid point-in-time observation. Highly correlated with future delay continuation.
current_schedule_status_as_of_t,"Categorical schedule flag reported by MoSPI as of month t (ON_SCHEDULE, DELAYED, UNSCHEDULED, PAST_DUE_BREACHED)",NO (max report month <= t),Report month t,TARGET-PROXIMAL-BUT-VALID,"Administrative status reported at month t. Directly informs current state, making persistence to t+3 highly probable."
months_to_revised_doc_t,(revised_completion_date_t - prediction_month) in months,NO (max report month <= t),Report month t,TARGET-PROXIMAL-BUT-VALID,Proximity to latest acknowledged target date. Valid as of month t.
physical_progress_t,Reported physical progress percentage at month t,NO (max report month <= t),Report month t,SAFE,Core operational status feature reflecting physical ground reality.
remaining_physical_progress_t,100 - physical_progress_t,NO (max report month <= t),Report month t,SAFE,Mathematical inversion of current progress. Point-in-time safe.
stagnant_3m_t,"1 if progress had zero increase over prior 3 consecutive observed months <= t, else 0",NO (max report month <= t),Historical trajectory <= t,SAFE,Pure dynamic velocity indicator capturing ground construction stalling.
progress_velocity_3m_t,(progress(t) - progress(t-3)) / 3,NO (max report month <= t),Historical trajectory <= t,SAFE,Lagged rate of physical progress change. Valid historical trajectory.
expenditure_ratio_pct_t,(cumulative_expenditure_t / revised_cost_t) * 100,NO (max report month <= t),Report month t,SAFE,Capital absorption ratio as of month t.
cost_escalation_pct_t,((revised_cost_t - original_cost) / original_cost) * 100,NO (max report month <= t),Report month t,SAFE,Known financial escalation as of month t.
