feature_or_signal,source_dataset,time_horizon,future_dependency,forward_fill_across_t,aggregation_scope,leakage_risk_type,audit_verification_method,compliance_status
physical_progress_t,data/paimana_master_dataset.csv (physical_progress_percent),Observed strictly at month t,NONE (t+1..t+n values never referenced),STRICTLY PROHIBITED,Point-in-time snapshot as of month t,No temporal leakage,Verified against raw monthly report for prediction_month,STRICT_POINT_IN_TIME_COMPLIANT
progress_velocity_1m_t,features/feature_dataset_v1.csv (physical_progress_t - physical_progress_lag1),Uses month t and month t-1,NONE,NO,"Historical window [t-1, t]",No temporal leakage,Lagged difference verified against historical sequence,STRICT_POINT_IN_TIME_COMPLIANT
progress_velocity_3m_t,features/feature_dataset_v1.csv (rolling 3m mean delta),"Uses historical window [t-3, t]",NONE,NO,Historical rolling window <= t,No temporal leakage,Rolling window strictly bounded by t,STRICT_POINT_IN_TIME_COMPLIANT
stagnant_3m_t,features/feature_dataset_v1.csv,"Historical window [t-2, t]",NONE,NO,Historical rolling window <= t,No temporal leakage,Verified no future month progress inspected,STRICT_POINT_IN_TIME_COMPLIANT
months_since_last_progress_increase_t,features/feature_dataset_v1.csv,Cumulative historical sequence <= t,NONE,NO,Monotonic backward scan from t to t_0,No temporal leakage,Verified backward-only pointer search,STRICT_POINT_IN_TIME_COMPLIANT
schedule_slippage_months_t,features/feature_dataset_v1.csv (revised_doc_t - original_completion_date),Revised date as published in month t report,NONE (Future date revisions in t+1..t+n ignored),NO,Point-in-time revised date as of month t,No temporal leakage,Cross-checked with revised_doc_t against raw report t,STRICT_POINT_IN_TIME_COMPLIANT
months_to_original_doc_t,features/feature_dataset_v1.csv (original_completion_date - prediction_month),Static charter original date vs prediction month t,NONE,NO,Static charter date relative to month t,No temporal leakage,Mathematical date subtraction verified,STRICT_POINT_IN_TIME_COMPLIANT
cumulative_expenditure_t,data/paimana_master_dataset.csv (cumulative_expenditure_crore),Reported cumulative spend at month t,NONE,NO,Point-in-time financial snapshot <= t,No temporal leakage,Verified against raw monthly report for prediction_month,STRICT_POINT_IN_TIME_COMPLIANT
expenditure_ratio_pct_t,features/feature_dataset_v1.csv (cum_exp_t / original_cost * 100),Point-in-time calculation at month t,NONE,NO,Point-in-time snapshot <= t,No temporal leakage,Verified no future revised cost or future spend used in ratio,STRICT_POINT_IN_TIME_COMPLIANT
divergence_spread_t,Derived PIT signal (expenditure_ratio_pct_t - physical_progress_t),Synchronous point-in-time evaluation at month t,NONE,NO,Point-in-time snapshot at month t,No temporal leakage,Verified both inputs strictly observed at month t,STRICT_POINT_IN_TIME_COMPLIANT
observation_gap_flag_t,features/feature_dataset_v1.csv,Historical observation continuity <= t,NONE,NO,"Historical reporting sequence [t_first, t]",No temporal leakage,Verified gap flag only checks historical months <= t,STRICT_POINT_IN_TIME_COMPLIANT
agency_mean_progress_t,features/feature_dataset_v1.csv,Cross-sectional mean across active projects at month t,NONE (No future months included in agency cross-section),NO,Cross-sectional slice strictly within month t,No temporal leakage,Verified cross-section grouping performed strictly within month t,STRICT_POINT_IN_TIME_COMPLIANT
execution_stress_index (ESI),experiments/execution_risk/execution_stress_scores.csv,Deterministic linear combination of point-in-time components at month t,NONE,STRICTLY PROHIBITED,Point-in-time composite index at month t,No temporal leakage,Verified all 5 component inputs are strictly <= t,STRICT_POINT_IN_TIME_COMPLIANT
