feature_name,max_source_time,prediction_boundary_rule,leakage_status,notes
approval_start_date,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Static baseline parameter established at project sanction / baseline date.
original_completion_date,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Static baseline parameter established at project sanction / baseline date.
original_cost_crore,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Static baseline parameter established at project sanction / baseline date.
project_age_months_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
planned_duration_months,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Static baseline parameter established at project sanction / baseline date.
original_cost_log,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Static baseline parameter established at project sanction / baseline date.
project_size_category,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Static baseline parameter established at project sanction / baseline date.
physical_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
cumulative_expenditure_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
revised_cost_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
revised_doc_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
cost_escalation_pct_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
expenditure_ratio_pct_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
remaining_physical_progress_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
schedule_slippage_months_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_to_original_doc_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
months_to_revised_doc_t,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Point-in-time calculation strictly using records where report_month <= t.
physical_progress_lag1,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
physical_progress_lag2,<= prediction_month (t),Strict Point-in-Time Boundary Enforcement,SAFE,Historical lag from prior observed reports <= t.
